ordinal,question_id,n_hops,run_id,condition,retriever,seed,status,termination_reason,abstention_reason,answer_mode,answered_target_ids,deferred_target_ids,split_memberships,gold_count,accepted_count,gold_true_positive,provision_precision,provision_recall,provision_f1,provision_em,accepted_complete_evidence,token_f1,token_f1_at_800,candidate_answer,candidate_answer_status,candidate_answer_basis,candidate_answer_available,candidate_token_f1_at_800,candidate_exact_match_at_800,lf_eval_score_raw,lf_eval_score_normalized,supported_answer,false_supported,gold_incomplete_supported_answer,citation_integrity_attempted,citation_integrity_passed,retrieval_rounds,retrieval_requests,candidate_count_returned,candidate_count_unique,end_to_end_latency_ms,stage_provenance_available,first_stage_recall_at_100,first_stage_complete_at_100,rrf_recall_at_100,rrf_complete_at_100,bge_recall_at_10,bge_complete_at_10,bge_recall_at_20,bge_complete_at_20,bge_recall_at_30,bge_complete_at_30,record_directory
10,qa_213_2hop_812_rand,2,1356b659-8ef4-46da-a2ae-fbe387adfca9,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,2,3,2,0.6666666666666666,1.0,0.8,False,True,0.0,0.0,"여객자동차운송사업 면허를 받은 자가 사업에 직접 사용하기 위해 천연가스 버스를 취득하는 경우, 2021년 1월 1일부터 2024년 12월 31일까지 취득세의 100분의 75를 경감한다.[CT1]
여객자동차운송사업 면허를 받은 자가 사업에 직접 사용하기 위해 전기버스 또는 수소전기버스를 취득하는 경우, 2027년 12월 31일까지 취득세를 면제한다.[CT2]
2023년 6월 1일 기준, 동일 조건에서 천연가스 버스는 취득세의 25%만 부담하는 반면, 전기버스 및 수소전기버스는 취득세 부담이 없으므로 후자가 세액 부담이 적다.[CT3][CT4]",GENERATED,retrieved_candidates,True,0.2626262626262626,False,,,False,,False,False,,3,7,30,27,496405.117,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/1356b659-8ef4-46da-a2ae-fbe387adfca9
12,qa_140_3hop_540_rand,3,f781b027-6fde-4dfa-8a0d-0733b8ecb9e3,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1;T2;T3,,all,3,4,2,0.5,0.6666666666666666,0.5714285714285715,False,False,0.5360824742268041,0.5360824742268041,"법무사법인을 설립하려면 구성원이 될 법무사가 정관을 작성하여 주사무소 소재지의 지방법무사회를 거쳐 대법원장의 인가를 받아야 한다.[CT1]
법무사법인의 설립인가가 있는 때에는 2주 이내에 설립등기를 하여야 한다.[CT2]
법무사법인은 3명 이상의 법무사로 구성하며, 그 중 1명 이상은 제5조의2제2항 각 호의 어느 하나에 해당하거나 7년 이상 법무사 업무에 종사한 자이어야 한다.[CT3]",PUBLISHED_ANSWER,published_answer,True,0.5360824742268041,False,,,True,,True,True,True,3,7,30,19,475284.866,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/f781b027-6fde-4dfa-8a0d-0733b8ecb9e3
25,qa_215_2hop_820_rand,2,62df8725-2758-4729-a6c7-bf2636c263b2,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,limited,T2,T1,all,2,2,1,0.5,0.5,0.5,False,False,0.14583333333333334,0.14583333333333334,"대통령선거 후보자는 후보자등록 시 3억원의 기탁금을 납부하여야 한다.[CT1]
대통령선거 및 국회의원선거의 선거운동 개시 시점에 관한 판단은 관련 법령 조항이 불완전하여 유보된다.[CT3]
지역구국회의원선거 후보자는 1천500만원, 비례대표국회의원선거 후보자는 500만원의 기탁금을 납부하여야 한다.[CT2]",PUBLISHED_ANSWER,published_answer,True,0.14583333333333334,False,,,True,,True,True,True,3,8,30,24,508424.476,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/62df8725-2758-4729-a6c7-bf2636c263b2
27,qa_279_3hop_1064_rand,3,252970a4-68f6-449d-80ad-7da195137e1d,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,3,5,2,0.4,0.6666666666666666,0.5,False,False,0.0,0.0,"특별대책지역에 설치하는 배출시설은 대기환경보전법 시행령 제11조 제1항 제2호에 따라 설치허가를 받아야 합니다.[CT1]
환경부장관 또는 시·도지사는 특정대기유해물질이나 특별대책지역 배출시설로 인한 위해 우려 시 배출시설 설치를 제한할 수 있습니다.[CT2]
특정대기유해물질이 환경부령으로 정하는 기준 이상으로 발생되는 배출시설은 설치허가 대상입니다.[CT4]",GENERATED,retrieved_candidates,True,0.1971830985915493,False,,,False,,False,False,,3,9,30,28,594297.599,True,1.0,True,0.6666666666666666,False,0.6666666666666666,False,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/252970a4-68f6-449d-80ad-7da195137e1d
43,qa_82_3hop_235_rand2,3,080aff69-712a-423c-b350-53b073f0e7cd,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1;T2;T3,,all,3,3,3,1.0,1.0,1.0,True,True,0.3529411764705882,0.3529411764705882,"국가나 지방자치단체는 국민주택을 분양하거나 임대할 때 한부모가족에게 일정 비율이 우선 분양될 수 있도록 노력하여야 한다.[CT1]
국가나 지방자치단체는 한부모가족의 아동이 공공의 아동 편의시설과 그 밖의 공공시설을 우선적으로 이용할 수 있도록 노력하여야 한다.[CT2]
국가나 지방자치단체가 운영하는 공공시설의 장은 매점 및 시설 설치 허가를 할 때 한부모가족 또는 한부모가족복지단체에 우선적으로 허가할 수 있다.[CT3]",PUBLISHED_ANSWER,published_answer,True,0.3529411764705882,False,,,True,,False,True,True,1,3,10,10,150447.096,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/080aff69-712a-423c-b350-53b073f0e7cd
44,qa_127_3hop_230,3,afd2c383-49de-4c89-bec6-7f287c1309e5,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1;T2;T3,,all,3,3,3,1.0,1.0,1.0,True,True,0.5384615384615384,0.5384615384615384,"학교법인이 기본재산을 매도하려는 경우, 대통령령으로 정하는 경미한 사항이 아니라면 관할청의 허가를 받아야 한다.[CT1]
학교법인의 재산 처분에 관한 사항은 이사회에서 심의·의결해야 한다.[CT2]
이사장이 학교법인과 이해관계가 상반될 때에는 해당 사항에 관한 의결에 참여할 수 없다.[CT3]",PUBLISHED_ANSWER,published_answer,True,0.5384615384615384,False,,,True,,False,True,True,1,3,10,10,157143.958,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/afd2c383-49de-4c89-bec6-7f287c1309e5
47,qa_64_1hop_95,1,7e205f98-7a6c-4389-91e2-76ac69658355,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1,,all,1,2,1,0.5,1.0,0.6666666666666666,False,True,0.15873015873015872,0.15873015873015872,"고의 또는 과실로 인한 위법행위로 타인에게 손해를 가한 자는 그 손해를 배상할 책임이 있다.[CT1]
타인의 생명을 해한 자는 피해자의 직계존속, 직계비속 및 배우자에 대하여는 재산상의 손해없는 경우에도 손해배상의 책임이 있다.[CT2]
갑의 행위는 을의 생명을 해한 불법행위에 해당하며, 을의 배우자 병과 자녀 정은 민법 제752조에 따라 재산상의 손해 유무와 무관하게 손해배상을 청구할 수 있다.[CT3]",PUBLISHED_ANSWER,published_answer,True,0.15873015873015872,False,,,True,,False,True,True,2,4,20,19,304393.257,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/7e205f98-7a6c-4389-91e2-76ac69658355
59,qa_144_3hop_410_rand2,3,76ad772b-10ca-43d0-9dde-97aa5f51785f,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1;T2;T3,,all,3,5,3,0.6,1.0,0.7499999999999999,False,True,0.26666666666666666,0.26666666666666666,"신탁행위로 정한 바에 따라 수익자로 지정된 자는 당연히 수익권을 취득한다.[CT1]
수익자가 포기의 의사표시를 한 경우에는 처음부터 수익권을 가지지 아니하였던 것으로 본다.[CT2]
수탁자가 변경된 경우 신수탁자는 전수탁자가 신탁행위로 인하여 수익자에게 부담하는 채무를 승계한다.[CT3]",PUBLISHED_ANSWER,published_answer,True,0.26666666666666666,False,,,True,,False,True,True,2,5,20,16,365623.385,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/76ad772b-10ca-43d0-9dde-97aa5f51785f
60,qa_131_3hop_237,3,9814c566-9811-4695-b17d-f23d527a3e3e,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,limited,T1,T2;T3,all,3,3,3,1.0,1.0,1.0,True,True,0.5432098765432098,0.5432098765432098,"민사소송법 제208조 제1항에 따라 판결서에는 당사자와 법정대리인, 주문, 청구의 취지 및 상소의 취지, 이유, 변론을 종결한 날짜(또는 변론 없이 판결하는 경우 선고일), 법원이 기재되어야 한다.[CT1]
판결의 이유를 밝히지 아니하거나 이유에 모순이 있는 경우 상고에 정당한 이유가 있는 것으로 보지만, 이러한 하자가 판결의 무효 사유에 해당하는지 여부는 현재 확인된 조항으로 판단할 수 없다.[CT3]
민사소송법 제208조 제2항에 따라 판결서의 이유에는 주문이 정당하다는 것을 인정할 수 있을 정도로 당사자의 주장, 그 밖의 공격·방어방법에 관한 판단을 표시해야 한다.[CT2]",PUBLISHED_ANSWER,published_answer,True,0.5432098765432098,False,,,True,,False,True,True,3,7,30,25,644764.802,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/9814c566-9811-4695-b17d-f23d527a3e3e
61,qa_441_3hop_696,3,8a679352-4d7a-4242-b35f-f0f1bd40f7f5,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1;T2;T3,,all,3,4,3,0.75,1.0,0.8571428571428571,False,True,0.09523809523809525,0.09523809523809525,"유류분 반환청구권은 유류분권리자가 상속의 개시와 반환하여야 할 증여 또는 유증을 한 사실을 안 때로부터 1년내에 행사하지 아니하면 시효에 의하여 소멸하며, 상속이 개시한 때로부터 10년을 경과한 때도 소멸한다.[CT1]
증여는 상속개시전의 1년간에 행한 것에 한하여 유류분 산정 시 그 가액을 산정하며, 당사자 쌍방이 유류분권리자에 손해를 가할 것을 알고 증여를 한 때에는 1년전에 한 것도 가산 대상이 된다.[CT2]
유류분은 피상속인의 상속개시시에 있어서 가진 재산의 가액에 증여재산의 가액을 가산하고 채무의 전액을 공제하여 산정한다.[CT3]",PUBLISHED_ANSWER,published_answer,True,0.09523809523809525,False,,,True,,False,True,True,2,5,20,18,425280.58,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/8a679352-4d7a-4242-b35f-f0f1bd40f7f5
73,qa_41_3hop_66,3,32670349-8144-4053-b82b-bce60a9079ff,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,limited,T2,T1;T3,all,3,9,1,0.1111111111111111,0.3333333333333333,0.16666666666666666,False,False,0.3661971830985915,0.3661971830985915,"피의자를 구속한 때에는 즉시 공소사실의 요지와 변호인을 선임할 수 있음을 알려야 한다.[CT1]
피의자를 구속하려면 범죄사실의 요지, 구속의 이유와 변호인을 선임할 수 있음을 말하고 변명할 기회를 주어야 한다.[CT2]",PUBLISHED_ANSWER,published_answer,True,0.3661971830985915,False,,,True,,True,True,True,3,9,30,29,536540.971,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/32670349-8144-4053-b82b-bce60a9079ff
