ordinal,question_id,n_hops,run_id,condition,retriever,seed,status,termination_reason,abstention_reason,answer_mode,answered_target_ids,deferred_target_ids,split_memberships,gold_count,accepted_count,gold_true_positive,provision_precision,provision_recall,provision_f1,provision_em,accepted_complete_evidence,token_f1,token_f1_at_800,candidate_answer,candidate_answer_status,candidate_answer_basis,candidate_answer_available,candidate_token_f1_at_800,candidate_exact_match_at_800,lf_eval_score_raw,lf_eval_score_normalized,supported_answer,false_supported,gold_incomplete_supported_answer,citation_integrity_attempted,citation_integrity_passed,retrieval_rounds,retrieval_requests,candidate_count_returned,candidate_count_unique,end_to_end_latency_ms,stage_provenance_available,first_stage_recall_at_100,first_stage_complete_at_100,rrf_recall_at_100,rrf_complete_at_100,bge_recall_at_10,bge_complete_at_10,bge_recall_at_20,bge_complete_at_20,bge_recall_at_30,bge_complete_at_30,record_directory
1,qa_19_1hop_28,1,645a795c-0d34-44e4-ae6d-703030ffcf2a,D4-abstain-repair-KURE-v1-Qwen3.8-Q8_0,kure,0,ABSTAIN,NO_RETRIEVAL_PROGRESS,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,1,0,0,0.0,0.0,0.0,False,False,0.0,0.0,"운송주선인의 책임은 수하인이 운송물을 수령한 날로부터 1년을 경과하면 소멸시효가 완성한다[CT1]
전제: 갑과 을 사이의 계약이 상법상 운송계약에 해당한다고 가정합니다.
한계: 운송계약상 손해배상채권의 소멸시효 기간 및 기산점을 특정할 수 있는 후보 조문이 제공되지 않았습니다.
한계: 본 답변은 벤치마크 후보 생성을 위한 진단 목적이며, 법적 효력이 있는 공식 답변이 아닙니다.",GENERATED,retrieved_candidates,True,0.054794520547945195,False,,,False,,False,False,,2,3,20,19,199930.55,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/645a795c-0d34-44e4-ae6d-703030ffcf2a
2,qa_92_1hop_149,1,a644e4dc-5702-448c-8df1-8343fa8e96c3,D4-abstain-repair-KURE-v1-Qwen3.8-Q8_0,kure,0,ANSWER,COMPLETED,,full,T1,,all,1,1,1,1.0,1.0,1.0,True,True,0.07692307692307691,0.07692307692307691,"야간에 사람의 주거에 침입하여 타인의 재물을 절취한 자는 10년 이하의 징역에 처한다.[CT1]
전제: 질문에 명시된 '한밤중'이 형법상 '야간'에 해당한다고 가정한다.
전제: 을의 '집'이 형법상 '주거'에 해당한다고 가정한다.
한계: 본 답변은 제공된 형법 제330조 조문에만 근거하며, 실제 사건의 구체적 양형이나 기타 법률적 쟁점은 다루지 않는다.",PUBLISHED_ANSWER,published_answer,True,0.07692307692307691,False,,,True,,False,True,True,1,2,10,10,109219.677,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/a644e4dc-5702-448c-8df1-8343fa8e96c3
3,qa_139_1hop_254,1,7665ced1-b888-4d6f-bbb5-52b1981c7c1a,D4-abstain-repair-KURE-v1-Qwen3.8-Q8_0,kure,0,ANSWER,COMPLETED,,full,T1,,all,1,1,1,1.0,1.0,1.0,True,True,0.05194805194805195,0.05194805194805195,"1년 이상의 징역 또는 금고의 형의 선고를 받고 그 집행이 종료되지 아니하거나 그 집행을 받지 아니하기로 확정되지 아니한 사람은 선거권이 없다.[CT1]
2년 징역형을 선고받고 현재 수감 중인 갑은 형의 집행이 종료되지 아니한 상태이므로 선거권이 없다.[CT2]
전제: 갑이 받은 2년 징역형이 확정되었고, 현재까지 형의 집행이 종료되지 않았거나 면제되지 않았다고 가정한다.
한계: 본 답변은 제공된 공직선거법 제18조 제1항 제2호에 근거한 법적 해석이며, 갑의 형이 집행유예로 확정되었거나 기타 예외 사유가 존재하는 경우 결론이 달라질 수 있다.",PUBLISHED_ANSWER,published_answer,True,0.05194805194805195,False,,,True,,False,True,True,1,1,10,10,205045.057,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/7665ced1-b888-4d6f-bbb5-52b1981c7c1a
4,qa_172_1hop_308,1,b5730944-3a9a-4538-af4a-06ab598fcb43,D4-abstain-repair-KURE-v1-Qwen3.8-Q8_0,kure,0,ABSTAIN,NO_RETRIEVAL_PROGRESS,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,1,4,1,0.25,1.0,0.4,False,True,0.0,0.0,"민사소송 중 당사자가 법정에서 화해하고 그 내용이 변론조서에 기록된 경우, 해당 조서는 확정판결과 동일한 효력을 가집니다.[CT1]
소송상 화해는 집행권원에 해당하여 강제집행이 가능합니다.[CT2]
전제: 질문에서 제시된 '법정에서 화해하고 변론조서에 기록되었다'는 사실관계가 민사소송법 제220조의 요건을 충족한다고 가정합니다.
한계: 본 답변은 비공개 벤치마크 후보(benchmark candidate)이며, 공개 가능한 답변으로 승인되지 않았습니다.
한계: 화해의 일반적 성립 요건 및 법적 성격에 대한 근거가 일부 부족하여, 효력 발생의 전제 조건에 대한 상세한 분석은 생략되었습니다.",GENERATED,retrieved_candidates,True,0.05263157894736842,False,,,False,,False,False,,3,6,30,17,427618.481,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/b5730944-3a9a-4538-af4a-06ab598fcb43
5,qa_90_2hop_147,2,e40cf54d-d1fc-4594-b5e0-6f319147b2b5,D4-abstain-repair-KURE-v1-Qwen3.8-Q8_0,kure,0,ANSWER,COMPLETED,,full,T1;T2,,all,2,2,2,1.0,1.0,1.0,True,True,0.4090909090909091,0.4090909090909091,"손해보험계약의 보험자는 보험사고로 인하여 생길 피보험자의 재산상의 손해를 보상할 책임이 있다.[CT1]
보험계약은 금전으로 산정할 수 있는 이익에 한하여 보험계약의 목적으로 할 수 있다.[CT2]
전제: 갑과 을 보험회사 간에 유효한 손해보험계약이 체결되어 있고, 갑의 자전거 도난이 보험약관에서 정한 보험사고에 해당한다고 가정한다.
한계: 본 답변은 상법 제665조와 제668조에 근거한 일반적 법적 원칙을 설명하며, 개별 보험약관의 특약이나 면책조항에 따른 구체적 보상 범위나 절차에 대해서는 다루지 않는다.",PUBLISHED_ANSWER,published_answer,True,0.4090909090909091,False,,,True,,False,True,True,2,4,20,18,387891.331,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/e40cf54d-d1fc-4594-b5e0-6f319147b2b5
6,qa_192_2hop_334,2,f3b1d52e-9b57-4b50-9280-f80a202daffb,D4-abstain-repair-KURE-v1-Qwen3.8-Q8_0,kure,0,ANSWER,COMPLETED,,full,T1,,all,2,2,2,1.0,1.0,1.0,True,True,0.2,0.2,"사무처리를 그르치게 할 목적으로 공무원 또는 공무소의 전자기록등 특수매체기록을 위작 또는 변작한 자는 10년 이하의 징역에 처한다.[CT1]
제225조 내지 제228조의 죄에 의하여 만들어진 전자기록등 특수매체기록을 행사한 자는 그 각 죄에 정한 형에 처한다.[CT2]
전제: 갑의 행위가 '사무처리를 그르치게 할 목적'을 가지고 이루어졌다고 가정한다.
전제: 을이 행사한 전자기록이 형법 제225조 내지 제228조의 죄에 의하여 만들어진 것임을 전제한다.
한계: 본 답변은 제공된 형법 조항에 기반한 일반적 법적 규정을 설명하며, 개별 사건의 구체적 양형이나 다른 법률적 쟁점(예: 공무상 비밀누설 등)은 다루지 않는다.",PUBLISHED_ANSWER,published_answer,True,0.2,False,,,True,,False,True,True,1,2,10,10,192247.124,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/f3b1d52e-9b57-4b50-9280-f80a202daffb
7,qa_312_2hop_499,2,d3d95285-6db4-4b72-bcd8-d3a99d051df4,D4-abstain-repair-KURE-v1-Qwen3.8-Q8_0,kure,0,ANSWER,COMPLETED,,full,T1;T2,,all,2,2,2,1.0,1.0,1.0,True,True,0.2857142857142857,0.2857142857142857,"기타 혼인을 계속하기 어려운 중대한 사유가 있을 때 재판상 이혼을 청구할 수 있습니다.[CT1]
제840조 제6호의 사유에 기한 이혼 청구권은 다른 일방이 이를 안 날로부터 6월, 그 사유가 있었던 날로부터 2년을 경과하면 소멸합니다.[CT2]
전제: 갑의 도박 중독이 '혼인을 계속하기 어려운 중대한 사유'에 해당하는지 여부는 구체적인 사정(도박의 정도, 가정 경제 파탄 여부, 배우자의 정신적 고통 등)에 따라 법원의 재량에 따라 판단될 수 있으며, 본 답변은 해당 사유가 성립한다고 가정하고 법적 요건과 기한만을 설명합니다.
한계: 본 답변은 제공된 민법 조항에 근거한 법적 요건과 기한에 대한 설명이며, 실제 소송에서의 승소 여부는 구체적인 증거와 법원의 판단에 따라 달라질 수 있습니다.",PUBLISHED_ANSWER,published_answer,True,0.2857142857142857,False,,,True,,False,True,True,1,2,10,10,202191.441,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/d3d95285-6db4-4b72-bcd8-d3a99d051df4
8,qa_387_2hop_603,2,459d88aa-fa03-438e-85a1-50296e29d784,D4-abstain-repair-KURE-v1-Qwen3.8-Q8_0,kure,0,ANSWER,COMPLETED,,full,T1;T2,,all,2,2,2,1.0,1.0,1.0,True,True,0.1891891891891892,0.1891891891891892,"을의 회사 계약서 위조 행위는 형법 제231조 제1항에 따라 사문서 위조죄를 구성하며, 5년 이하의 징역 또는 1천만원 이하의 벌금에 처해집니다.[CT1]
시청 발급 문서 변조 행위는 형법 제225조 제1항에 따라 공문서 변조죄를 구성하며, 10년 이하의 징역에 처해집니다.[CT2]
전제: 갑의 행위가 '행사할 목적'을 가지고 이루어졌다고 가정합니다. 이는 위조·변조죄의 주관적 구성요건입니다.
전제: 을의 회사 계약서가 형법상 '권리·의무 또는 사실증명에 관한 타인의 문서'에 해당한다고 가정합니다.
전제: 시청 발급 가족관계증명서가 형법상 '공무원 또는 공무소의 문서'에 해당한다고 가정합니다.
한계: 본 답변은 제공된 형법 조항에 근거한 법적 성질과 법정형에 한정됩니다. 실제 형량 결정은 사건의 구체적 정황, 전과, 피해 회복 여부 등 양형 요소에 따라 달라질 수 있습니다.
한계: 갑의 행위가 다른 범죄(예: 업무상 배임, 정보통신망법 위반 등)와 경합하는지 여부는 본 답변의 범위에서 다루지 않습니다.",PUBLISHED_ANSWER,published_answer,True,0.1891891891891892,False,,,True,,False,True,True,1,2,10,10,235603.967,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/459d88aa-fa03-438e-85a1-50296e29d784
9,qa_476_2hop_749,2,f5b298ef-42ff-43fc-a669-f2e13ee9c572,D4-abstain-repair-KURE-v1-Qwen3.8-Q8_0,kure,0,ANSWER,COMPLETED,,full,T1,,all,2,2,2,1.0,1.0,1.0,True,True,0.14457831325301204,0.14457831325301204,"폭행 또는 협박으로 타인의 재물을 강취한 자는 3년 이상의 유기징역에 처한다.[CT1]
2인 이상이 공동하여 죄를 범한 때에는 각자를 그 죄의 정범으로 처벌한다.[CT2]
전제: 질문에 제시된 사실관계(갑과 을의 공동 침입, 폭행, 협박, 재물 강취)가 법적으로 강도죄의 구성요건을 충족한다고 가정한다.
한계: 본 답변은 제시된 조항에 근거한 일반적 법적 원칙의 적용이며, 개별 사건의 구체적 양형 요소(전과, 피해 회복, 자백 등)에 따른 실제 형량은 법원의 재량에 따라 달라질 수 있다.",PUBLISHED_ANSWER,published_answer,True,0.14457831325301204,False,,,True,,False,True,True,1,2,10,10,185248.883,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/f5b298ef-42ff-43fc-a669-f2e13ee9c572
10,qa_621_2hop_937,2,3930dac2-ad9f-4a53-b38c-33b185003c73,D4-abstain-repair-KURE-v1-Qwen3.8-Q8_0,kure,0,ANSWER,COMPLETED,,full,T1;T2,,all,2,2,2,1.0,1.0,1.0,True,True,0.28571428571428575,0.28571428571428575,"취소소송은 처분등의 취소를 구할 법률상 이익이 있는 자가 제기할 수 있다.[CT1]
갑은 강제 수용 처분의 대상인 소유지 일부의 소유자로서, 해당 처분의 취소를 구할 법률상 이익이 있으므로 취소소송을 제기할 자격이 있다.[CT2]
취소소송이 제기된 경우에 처분등이나 그 집행 또는 절차의 속행으로 인하여 생길 회복하기 어려운 손해를 예방하기 위하여 긴급한 필요가 있다고 인정할 때에는 본안이 계속되고 있는 법원은 당사자의 신청 또는 직권에 의하여 처분등의 효력이나 그 집행 또는 절차의 속행의 전부 또는 일부의 정지를 결정할 수 있다.[CT3]
처분의 효력정지는 처분등의 집행 또는 절차의 속행을 정지함으로써 목적을 달성할 수 있는 경우에는 허용되지 아니한다.[CT4]
전제: 갑이 강제 수용 처분의 대상인 토지 또는 건물의 소유자임을 전제로 한다.
전제: 강제 수용 처분이 행정소송법상 '처분등'에 해당함을 전제로 한다.
한계: 본 답변은 제공된 행정소송법 조항에 근거한 일반적 법적 요건 해석이며, 개별 사건의 구체적 사실관계(예: 긴급성의 정도, 손해의 구체성 등)에 따른 법원의 재량 판단은 포함되지 않는다.",PUBLISHED_ANSWER,published_answer,True,0.28571428571428575,False,,,True,,False,True,True,1,2,10,10,217651.687,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/3930dac2-ad9f-4a53-b38c-33b185003c73
