ordinal,question_id,n_hops,run_id,condition,retriever,seed,status,termination_reason,abstention_reason,answer_mode,answered_target_ids,deferred_target_ids,split_memberships,gold_count,accepted_count,gold_true_positive,provision_precision,provision_recall,provision_f1,provision_em,accepted_complete_evidence,token_f1,token_f1_at_800,candidate_answer,candidate_answer_status,candidate_answer_basis,candidate_answer_available,candidate_token_f1_at_800,candidate_exact_match_at_800,lf_eval_score_raw,lf_eval_score_normalized,supported_answer,false_supported,gold_incomplete_supported_answer,citation_integrity_attempted,citation_integrity_passed,retrieval_rounds,retrieval_requests,candidate_count_returned,candidate_count_unique,end_to_end_latency_ms,stage_provenance_available,first_stage_recall_at_100,first_stage_complete_at_100,rrf_recall_at_100,rrf_complete_at_100,bge_recall_at_10,bge_complete_at_10,bge_recall_at_20,bge_complete_at_20,bge_recall_at_30,bge_complete_at_30,record_directory
1,qa_172_1hop_308,1,3f6bb1a0-92c6-469c-906b-44d398e0ea64,D4-abstain-repair-s3fmt-isolated-205-Qwen3.8-Q8_0,bm25,0,ABSTAIN,NO_RETRIEVAL_PROGRESS,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,1,4,1,0.25,1.0,0.4,False,True,0.0,0.0,"화해, 청구의 포기ㆍ인낙을 변론조서ㆍ변론준비기일조서에 적은 때에는 그 조서는 확정판결과 같은 효력을 가진다.[CT1]
소송상 화해는 확정판결과 같은 효력을 가지는 집행권원에 해당한다.[CT2]
전제: 질문에서 제시된 '법정에서 화해하고 변론조서에 기록되었다'는 사실관계가 민사소송법 제220조의 적용 요건을 충족한다고 가정함.
한계: 본 답변은 비공개 벤치마크 후보(benchmark candidate)이며, 공개 가능한 답변으로 승인되지 않았습니다.
한계: 화해의 일반적 성립 요건 및 사법적 화해로서의 추상적 법적 성격에 대한 명시적 정의 조항이 후보 자료에 포함되어 있지 않아, 해당 측면은 답변에서 다루지 않았습니다.",GENERATED,retrieved_candidates,True,0.09756097560975609,False,,,False,,False,False,,3,6,30,17,968636.683,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-20260820-r2/3f6bb1a0-92c6-469c-906b-44d398e0ea64
2,qa_90_2hop_147,2,501fd3ea-d919-4331-986a-e11c1e98354e,D4-abstain-repair-s3fmt-isolated-205-Qwen3.8-Q8_0,bm25,0,ABSTAIN,NO_RETRIEVAL_PROGRESS,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,2,2,0,0.0,0.0,0.0,False,False,0.0,0.0,"손해보험회사는 손해보험계약의 제3자가 보험사고로 입은 손해에 대한 보험금의 지급을 보장하여야 한다.[CT1]
손해보험증권에는 '보험의 목적'이 기재되어야 한다.[CT2]
전제: 질문에서 언급된 '을 보험회사'가 손해보험회사임을 전제한다.
한계: 후보 조항에는 보험계약자(피보험자)에 대한 보험회사의 일반적 보험금 지급 의무를 규정한 상법 조항(예: 상법 제664조, 제665조)이 포함되어 있지 않아, T1에 대한 완전한 법적 책임 범위를 특정할 수 없다.
한계: 후보 조항에는 손해보험의 보험의 목적에 대한 법적 정의나 보험이익 등 요건을 규정한 조항이 포함되어 있지 않아, T2에 대한 보험의 목적의 범위를 특정할 수 없다.",GENERATED,retrieved_candidates,True,0.07476635514018691,False,,,False,,False,False,,3,6,30,11,772524.698,True,1.0,True,1.0,True,0.5,False,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-20260820-r2/501fd3ea-d919-4331-986a-e11c1e98354e
3,qa_192_2hop_334,2,5cd545b7-b010-40fc-b231-11457b2d20fc,D4-abstain-repair-s3fmt-isolated-205-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1,,all,2,2,2,1.0,1.0,1.0,True,True,0.20754716981132076,0.20754716981132076,"사무처리를 그르치게 할 목적으로 공무원 또는 공무소의 전자기록등 특수매체기록을 위작 또는 변작한 자는 10년 이하의 징역에 처한다.[CT1]
제225조 내지 제228조의 죄에 의하여 만들어진 전자기록등 특수매체기록을 행사한 자는 그 각 죄에 정한 형에 처한다.[CT2]
전제: 갑의 행위가 '사무처리를 그르치게 할 목적'을 가지고 이루어졌다고 가정합니다.
전제: 을이 행사한 전자기록이 형법 제225조 내지 제228조의 죄에 의하여 만들어진 것임을 전제합니다.
한계: 본 답변은 제공된 형법 조문에 근거한 일반적 법적 규정을 설명하며, 개별 사건의 구체적 사실관계에 따른 최종 법적 판단을 대체하지 않습니다.",PUBLISHED_ANSWER,published_answer,True,0.20754716981132076,False,,,True,,False,True,True,1,2,10,10,276119.961,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-20260820-r2/5cd545b7-b010-40fc-b231-11457b2d20fc
4,qa_312_2hop_499,2,badfaeca-4f3d-4aaf-bf9b-334b64cfdab5,D4-abstain-repair-s3fmt-isolated-205-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1;T2,,all,2,2,2,1.0,1.0,1.0,True,True,0.26126126126126126,0.26126126126126126,"기타 혼인을 계속하기 어려운 중대한 사유가 있을 때 재판상 이혼을 청구할 수 있다.[CT1]
갑의 심각한 도박 중독으로 인해 을이 혼인생활을 지속하기 어렵다고 판단한 사정은 민법 제840조 제6호의 요건에 해당할 수 있다.[CT2]
제840조 제6호의 사유에 기한 이혼청구권은 다른 일방이 이를 안 날로부터 6월, 그 사유가 있던 날로부터 2년을 경과하면 소멸한다.[CT3]
을이 갑의 도박 문제를 알게 된 지 5개월이 경과한 현재 시점에서는 '안 날로부터 6월'의 기한이 아직 도과하지 않았으므로, 을은 여전히 재판상 이혼을 청구할 수 있다.[CT4]
전제: 을이 갑의 도박 중독 문제를 인지한 시점이 5개월 전이라는 사실은 질문의 배경 시나리오에서 제시된 전제이다.
전제: 갑의 도박 중독이 '혼인을 계속하기 어려운 중대한 사유'에 해당하는지는 구체적인 사정(도박의 정도, 가정경제 파탄 여부 등)에 따라 법원의 재량에 따라 판단될 수 있다.
한계: 민법 제840조 제6호의 '중대한 사유'는 포괄적 개념이므로, 도박 중독이 반드시 이혼 사유에 해당한다고 단정할 수 없으며, 개별 사건의 구체적 정황에 따라 판단이 달라질 수 있다.
한계: 본 답변은 제공된 민법 조항에 기반한 법적 기준 설명이며, 실제 소송에서의 승소 가능성이나 구체적 절차적 요건(예: 조정 전치주의 등)에 대한 판단을 포함하지 않는다.",PUBLISHED_ANSWER,published_answer,True,0.26126126126126126,False,,,True,,False,True,True,1,2,10,10,265501.205,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-20260820-r2/badfaeca-4f3d-4aaf-bf9b-334b64cfdab5
5,qa_387_2hop_603,2,d4391d2e-235e-4eb6-9377-9a7ae8672f2d,D4-abstain-repair-s3fmt-isolated-205-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1;T2,,all,2,2,2,1.0,1.0,1.0,True,True,0.3238095238095238,0.3238095238095238,"행사할 목적으로 권리·의무 또는 사실증명에 관한 타인의 문서를 위조한 자는 5년 이하의 징역 또는 1천만원 이하의 벌금에 처합니다.[CT1]
행사할 목적으로 공무원 또는 공무소의 문서를 변조한 자는 10년 이하의 징역에 처합니다.[CT2]
전제: 갑의 행위가 '행사할 목적'을 가지고 이루어졌다고 가정합니다.
전제: 을의 회사 계약서가 형법상 '타인의 문서'에 해당하고, 시청 발급 가족관계증명서가 '공무원 또는 공무소의 문서'에 해당한다고 가정합니다.
한계: 본 답변은 제공된 형법 조항에 근거한 법적 규정과 그 적용에 관한 것이며, 실제 사건의 구체적 사실관계나 양형에 대한 판단은 포함하지 않습니다.",PUBLISHED_ANSWER,published_answer,True,0.3238095238095238,False,,,True,,False,True,True,1,2,10,10,294378.165,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-20260820-r2/d4391d2e-235e-4eb6-9377-9a7ae8672f2d
6,qa_476_2hop_749,2,3517fd20-9656-4845-9d1d-ebb2d6af37be,D4-abstain-repair-s3fmt-isolated-205-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1,,all,2,2,2,1.0,1.0,1.0,True,True,0.08,0.08,"폭행 또는 협박으로 타인의 재물을 강취한 자는 3년 이상의 유기징역에 처한다.[CT1]
2인 이상이 공동하여 죄를 범한 때에는 각자를 그 죄의 정범으로 처벌한다.[CT2]
전제: 갑과 을이 병의 집에 침입하여 폭행 및 협박을 가하고 귀중품을 취득한 사실은 질문의 배경 시나리오에 따라 사실로 가정한다.
한계: 본 답변은 제시된 형법 조항에 근거한 일반적 법적 기준을 설명하며, 개별 사건의 구체적 양형 요소나 감경·가중 사유는 다루지 않는다.",PUBLISHED_ANSWER,published_answer,True,0.08,False,,,True,,False,True,True,1,2,10,10,240800.78,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-20260820-r2/3517fd20-9656-4845-9d1d-ebb2d6af37be
7,qa_621_2hop_937,2,189985f2-dbde-4f14-8e4d-0a6489738cb6,D4-abstain-repair-s3fmt-isolated-205-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1;T2,,all,2,2,2,1.0,1.0,1.0,True,True,0.3253012048192771,0.3253012048192771,"취소소송은 처분등의 취소를 구할 법률상 이익이 있는 자가 제기할 수 있다.[CT1]
갑은 강제 수용 처분의 상대방으로서 해당 처분의 취소를 구할 법률상 이익이 있으므로, 갑은 이 사건 강제 수용 처분에 대한 취소소송을 제기할 수 있는 당사자 적격이 인정됩니다.[CT2]
취소소송이 제기된 경우에 처분등이나 그 집행 또는 절차의 속행으로 인하여 생길 회복하기 어려운 손해를 예방하기 위하여 긴급한 필요가 있다고 인정할 때에는 본안이 계속되고 있는 법원은 당사자의 신청 또는 직권에 의하여 처분등의 효력이나 그 집행 또는 절차의 속행의 전부 또는 일부의 정지를 결정할 수 있다.[CT3]
처분의 효력정지는 처분등의 집행 또는 절차의 속행을 정지함으로써 목적을 달성할 수 있는 경우에는 허용되지 아니한다.[CT4]
전제: 갑이 강제 수용 처분의 직접적 상대방(처분등)임을 전제로 한다.
한계: 집행정지 인용 여부는 법원의 재량에 따라 구체적 사안에 따라 판단되며, 본 답변은 법적 요건만 제시한다.",PUBLISHED_ANSWER,published_answer,True,0.3253012048192771,False,,,True,,False,True,True,1,2,10,10,274119.8,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-20260820-r2/189985f2-dbde-4f14-8e4d-0a6489738cb6
8,qa_49_2hop_192_rand,2,4394f890-266b-4a97-8bc5-303eb14afb06,D4-abstain-repair-s3fmt-isolated-205-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1;T2,,all,2,3,2,0.6666666666666666,1.0,0.8,False,True,0.4307692307692308,0.4307692307692308,"국토교통부장관은 도로협회의 설립을 인가한 경우, 그 사실을 공고하여야 합니다.[CT1]
국토교통부장관은 협회의 업무를 감독하여야 합니다.[CT2]
국토교통부장관은 협회에 대하여 감독에 필요한 경우에는 그 업무에 관한 사항을 보고하게 하거나 자료의 제출, 그 밖에 필요한 사항을 명할 수 있습니다.[CT3]",PUBLISHED_ANSWER,published_answer,True,0.4307692307692308,False,,,True,,False,True,True,1,2,10,10,267951.642,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-20260820-r2/4394f890-266b-4a97-8bc5-303eb14afb06
9,qa_116_2hop_452_rand,2,86faa958-b0ad-4a92-86b6-b4d818818dfe,D4-abstain-repair-s3fmt-isolated-205-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,full,T1;T2,,all,2,2,2,1.0,1.0,1.0,True,True,0.5641025641025641,0.5641025641025641,"별정우체국 지정을 받은 사람이 그 지정을 해지하려면, 해지하기 3개월 전에 과학기술정보통신부장관에게 알려야 합니다.[CT1]
별정우체국의 지정이 취소된 경우, 피지정인은 그 업무를 인계할 우체국 또는 별정우체국이 지정되어 업무 수행에 필요한 시설을 갖출 때까지 그 시설을 철거하지 못합니다. 다만, 지정이 취소된 날부터 3개월이 지났을 때에는 시설을 철거할 수 있습니다.[CT2]",PUBLISHED_ANSWER,published_answer,True,0.5641025641025641,False,,,True,,False,True,True,2,4,20,18,425411.493,True,1.0,True,0.5,False,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-20260820-r2/86faa958-b0ad-4a92-86b6-b4d818818dfe
10,qa_213_2hop_812_rand,2,1356b659-8ef4-46da-a2ae-fbe387adfca9,D4-abstain-repair-s3fmt-isolated-205-s1retry38-Qwen3.8-Q8_0,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,2,3,2,0.6666666666666666,1.0,0.8,False,True,0.0,0.0,"여객자동차운송사업 면허를 받은 자가 사업에 직접 사용하기 위해 천연가스 버스를 취득하는 경우, 2021년 1월 1일부터 2024년 12월 31일까지 취득세의 100분의 75를 경감한다.[CT1]
여객자동차운송사업 면허를 받은 자가 사업에 직접 사용하기 위해 전기버스 또는 수소전기버스를 취득하는 경우, 2027년 12월 31일까지 취득세를 면제한다.[CT2]
2023년 6월 1일 기준, 동일 조건에서 천연가스 버스는 취득세의 25%만 부담하는 반면, 전기버스 및 수소전기버스는 취득세 부담이 없으므로 후자가 세액 부담이 적다.[CT3][CT4]",GENERATED,retrieved_candidates,True,0.2626262626262626,False,,,False,,False,False,,3,7,30,27,496405.117,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bm25-bge-abstain-repair-d4-s3fmt-isolated-qwen38-q8-205-s1retry38-20260821-r3/1356b659-8ef4-46da-a2ae-fbe387adfca9
