question_id,n_hops,error,token_f1,retrieval_precision,retrieval_recall,retrieval_f1,retrieval_em,total_latency_seconds,funnel_bm25_100_recall,funnel_rerank_10_recall,funnel_selected_recall
qa_19_1hop_28,1,,0.3158,0.0,0.0,0.0,0.0,19.481,1.0,0.0,0.0
qa_92_1hop_149,1,,0.2353,1.0,1.0,1.0,1.0,15.834,1.0,1.0,1.0
qa_139_1hop_254,1,,0.0,0.0,0.0,0.0,0.0,22.655,0.0,0.0,0.0
qa_172_1hop_308,1,,0.8,1.0,1.0,1.0,1.0,17.295,1.0,1.0,1.0
qa_90_2hop_147,2,,0.6364,1.0,0.5,0.6667,0.0,26.318,0.5,0.5,0.5
qa_192_2hop_334,2,,0.3902,1.0,0.5,0.6667,0.0,27.48,0.5,0.5,0.5
qa_312_2hop_499,2,,0.4058,0.0,0.0,0.0,0.0,27.709,0.0,0.0,0.0
qa_387_2hop_603,2,,0.8444,1.0,1.0,1.0,1.0,26.644,1.0,1.0,1.0
qa_476_2hop_749,2,,0.25,1.0,1.0,1.0,1.0,26.682,1.0,1.0,1.0
qa_621_2hop_937,2,,0.6582,1.0,1.0,1.0,1.0,31.113,1.0,1.0,1.0
qa_49_2hop_192_rand,2,,0.5116,0.5,0.5,0.5,0.0,23.706,1.0,1.0,0.5
qa_116_2hop_452_rand,2,,0.1695,0.0,0.0,0.0,0.0,37.866,0.0,0.0,0.0
qa_163_2hop_630_rand,2,,0.3333,0.0,0.0,0.0,0.0,36.43,0.5,0.0,0.0
qa_213_2hop_812_rand,2,,0.2143,0.0,0.0,0.0,0.0,31.987,0.0,0.0,0.0
qa_257_2hop_983_rand,2,,0.7213,0.5,0.5,0.5,0.0,34.832,0.5,0.5,0.5
qa_140_3hop_540_rand,3,,0.5495,0.6667,0.6667,0.6667,0.0,38.201,1.0,1.0,0.6667
qa_86_3hop_140,3,,0.2857,0.0,0.0,0.0,0.0,29.231,0.3333,0.3333,0.0
qa_352_3hop_554,3,,0.2769,0.3333,0.3333,0.3333,0.0,37.431,0.3333,0.3333,0.3333
qa_61_1hop_93,1,,0.6471,1.0,1.0,1.0,1.0,20.39,1.0,1.0,1.0
qa_94_1hop_155,1,,0.6452,1.0,1.0,1.0,1.0,19.649,1.0,1.0,1.0
qa_140_1hop_257,1,,0.1212,0.0,0.0,0.0,0.0,22.422,0.0,0.0,0.0
qa_174_1hop_312,1,,0.2143,1.0,1.0,1.0,1.0,19.199,1.0,1.0,1.0
qa_99_2hop_168,2,,0.963,1.0,1.0,1.0,1.0,37.495,1.0,1.0,1.0
qa_324_2hop_515,2,,0.3529,1.0,1.0,1.0,1.0,24.694,1.0,1.0,1.0
qa_401_2hop_619,2,,0.6667,1.0,0.5,0.6667,0.0,27.847,1.0,1.0,0.5
qa_488_2hop_766,2,,0.2353,0.0,0.0,0.0,0.0,35.044,0.0,0.0,0.0
qa_624_2hop_943,2,,0.3158,0.5,0.5,0.5,0.0,26.21,0.5,0.5,0.5
qa_59_2hop_232_rand,2,,0.1096,0.0,0.0,0.0,0.0,27.397,0.0,0.0,0.0
qa_119_2hop_464_rand,2,,0.08,0.0,0.0,0.0,0.0,28.788,0.0,0.0,0.0
qa_171_2hop_658_rand,2,,0.5974,1.0,1.0,1.0,1.0,46.679,1.0,1.0,1.0
qa_215_2hop_820_rand,2,,0.1087,0.5,0.5,0.5,0.0,31.169,0.5,0.5,0.5
qa_260_2hop_995_rand,2,,0.4595,1.0,0.6667,0.8,0.0,35.224,0.6667,0.6667,0.6667
qa_279_3hop_1064_rand,3,,0.1569,0.25,0.3333,0.2857,0.0,63.366,0.6667,0.3333,0.3333
qa_102_3hop_175,3,,0.3542,0.3333,0.3333,0.3333,0.0,38.341,0.3333,0.3333,0.3333
qa_422_3hop_653,3,,0.3093,0.6667,0.6667,0.6667,0.0,33.694,1.0,1.0,0.6667
qa_24_1hop_35,1,,0.4262,0.0,0.0,0.0,0.0,33.986,0.0,0.0,0.0
qa_62_1hop_94,1,,0.383,0.5,1.0,0.6667,0.0,23.964,1.0,1.0,1.0
qa_95_1hop_156,1,,0.0,0.5,1.0,0.6667,0.0,23.703,1.0,1.0,1.0
qa_141_1hop_258,1,,0.4262,1.0,1.0,1.0,1.0,20.883,1.0,1.0,1.0
qa_113_2hop_200,2,,0.7324,1.0,0.5,0.6667,0.0,29.442,0.5,0.5,0.5
qa_330_2hop_525,2,,0.44,0.5,0.5,0.5,0.0,28.418,1.0,1.0,0.5
