ordinal,question_id,n_hops,run_id,condition,retriever,seed,status,termination_reason,abstention_reason,gold_count,accepted_count,gold_true_positive,provision_precision,provision_recall,provision_f1,accepted_complete_evidence,supported_answer,false_supported,gold_incomplete_supported_answer,citation_integrity_attempted,citation_integrity_passed,retrieval_rounds,retrieval_requests,candidate_count_returned,candidate_count_unique,end_to_end_latency_ms,stage_provenance_available,first_stage_recall_at_100,first_stage_complete_at_100,rrf_recall_at_100,rrf_complete_at_100,bge_recall_at_10,bge_complete_at_10,bge_recall_at_20,bge_complete_at_20,bge_recall_at_30,bge_complete_at_30,record_directory
1,qa_19_1hop_28,1,0dd7bdae-5dbf-4191-a63d-89fdd6281573,bm25-bge-factualbranch-01,bm25,0,ANSWER,COMPLETED,,1,4,0,0.0,0.0,0.0,False,True,,True,True,True,3,7,40,36,474483.465,False,,,,,,,,,,,/root/Legal Harness/records/runs/0dd7bdae-5dbf-4191-a63d-89fdd6281573
2,qa_92_1hop_149,1,f1d86fa1-afde-48ef-b988-31b0c8fec9ed,bm25-bge-factualbranch-01,bm25,0,ANSWER,COMPLETED,,1,1,1,1.0,1.0,1.0,True,True,,False,True,True,1,2,20,20,120797.63,False,,,,,,,,,,,/root/Legal Harness/records/runs/f1d86fa1-afde-48ef-b988-31b0c8fec9ed
3,qa_139_1hop_254,1,4d821361-af35-4b44-b4b1-57ecd1d4b093,bm25-bge-factualbranch-01,bm25,0,ANSWER,COMPLETED,,1,2,1,0.5,1.0,0.6666666666666666,True,True,,False,True,True,1,2,10,10,157846.088,False,,,,,,,,,,,/root/Legal Harness/records/runs/4d821361-af35-4b44-b4b1-57ecd1d4b093
4,qa_140_1hop_257,1,2bd4144e-3245-47ae-9d1c-70a84feb4e5e,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,1,0,0,0.0,0.0,0.0,False,False,,False,False,,3,8,40,34,356745.383,False,,,,,,,,,,,/root/Legal Harness/records/runs/2bd4144e-3245-47ae-9d1c-70a84feb4e5e
5,qa_165_1hop_293,1,1d9c4048-cee4-4c64-b2b9-f3ecbebd8be2,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,1,0,0,0.0,0.0,0.0,False,False,,False,False,,3,8,30,29,311993.593,False,,,,,,,,,,,/root/Legal Harness/records/runs/1d9c4048-cee4-4c64-b2b9-f3ecbebd8be2
6,qa_85_1hop_135,1,27406a8d-0cfa-429a-a7cb-9bf934d0f3c6,bm25-bge-factualbranch-01,bm25,0,ANSWER,COMPLETED,,1,3,1,0.3333333333333333,1.0,0.5,True,True,,False,True,True,1,3,20,20,317363.435,False,,,,,,,,,,,/root/Legal Harness/records/runs/27406a8d-0cfa-429a-a7cb-9bf934d0f3c6
7,qa_163_2hop_630_rand,2,400ceb68-5002-473d-a59a-88f70c9e1d31,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,2,1,0,0.0,0.0,0.0,False,False,,False,False,,3,6,50,36,295005.125,False,,,,,,,,,,,/root/Legal Harness/records/runs/400ceb68-5002-473d-a59a-88f70c9e1d31
8,qa_180_2hop_689_rand,2,3fbcfaa8-f406-486d-aa9b-a9141295e01a,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,2,1,1,1.0,0.5,0.6666666666666666,False,False,,False,False,,3,6,50,35,248346.392,False,,,,,,,,,,,/root/Legal Harness/records/runs/3fbcfaa8-f406-486d-aa9b-a9141295e01a
9,qa_197_2hop_752_rand,2,f978bb62-bbda-42a9-bfb6-c867c6273786,bm25-bge-factualbranch-01,bm25,0,EXECUTION_FAILURE,INVALID_SKILL_OUTPUT,,2,5,2,0.4,1.0,0.5714285714285715,True,False,,False,False,,3,7,40,34,528091.893,False,,,,,,,,,,,/root/Legal Harness/records/runs/f978bb62-bbda-42a9-bfb6-c867c6273786
10,qa_211_2hop_804_rand,2,5cbeb18a-6ac4-4962-894d-9581726bf904,bm25-bge-factualbranch-01,bm25,0,EXECUTION_FAILURE,INVALID_SKILL_OUTPUT,,2,2,2,1.0,1.0,1.0,True,False,,False,False,,1,2,20,20,200931.496,False,,,,,,,,,,,/root/Legal Harness/records/runs/5cbeb18a-6ac4-4962-894d-9581726bf904
11,qa_234_2hop_892_rand,2,e5ed93af-edbb-4847-bec0-f3ed1ef5d6c8,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,2,2,2,1.0,1.0,1.0,True,False,,False,False,,3,8,40,24,311983.35,False,,,,,,,,,,,/root/Legal Harness/records/runs/e5ed93af-edbb-4847-bec0-f3ed1ef5d6c8
12,qa_26_2hop_104_rand,2,04e6bc38-79b0-404f-b693-0c913b4343dc,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,2,2,1,0.5,0.5,0.5,False,False,,False,False,,3,6,60,50,413631.329,False,,,,,,,,,,,/root/Legal Harness/records/runs/04e6bc38-79b0-404f-b693-0c913b4343dc
13,qa_281_2hop_441,2,a862ed78-dff1-4acc-8736-0bc4a7c9c068,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,2,0,0,0.0,0.0,0.0,False,False,,False,False,,3,9,60,51,316031.309,False,,,,,,,,,,,/root/Legal Harness/records/runs/a862ed78-dff1-4acc-8736-0bc4a7c9c068
14,qa_290_2hop_453,2,f60dd514-45a6-4d40-8787-b3b2b6504000,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,2,7,1,0.14285714285714285,0.5,0.22222222222222224,False,False,,False,False,,3,8,40,36,367468.87,False,,,,,,,,,,,/root/Legal Harness/records/runs/f60dd514-45a6-4d40-8787-b3b2b6504000
15,qa_423_2hop_656,2,663c53cc-006c-4d0b-a97c-1b56709ab761,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,2,6,1,0.16666666666666666,0.5,0.25,False,False,,False,False,,3,8,40,39,393440.874,False,,,,,,,,,,,/root/Legal Harness/records/runs/663c53cc-006c-4d0b-a97c-1b56709ab761
16,qa_430_2hop_668,2,19c01a99-6e53-4ad8-b594-62c533057064,bm25-bge-factualbranch-01,bm25,0,ANSWER,COMPLETED,,2,5,2,0.4,1.0,0.5714285714285715,True,True,,False,True,True,1,2,20,19,215281.381,False,,,,,,,,,,,/root/Legal Harness/records/runs/19c01a99-6e53-4ad8-b594-62c533057064
17,qa_83_2hop_325_rand,2,b2f2c53e-d732-428f-ad64-c953caa3e6fa,bm25-bge-factualbranch-01,bm25,0,ANSWER,COMPLETED,,2,2,2,1.0,1.0,1.0,True,True,,False,True,True,1,2,20,18,115586.21,False,,,,,,,,,,,/root/Legal Harness/records/runs/b2f2c53e-d732-428f-ad64-c953caa3e6fa
18,qa_104_3hop_182,3,e9680ba8-6003-41ce-9d71-aece3d2aff2c,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,3,4,0,0.0,0.0,0.0,False,False,,False,False,,3,6,30,29,284901.487,False,,,,,,,,,,,/root/Legal Harness/records/runs/e9680ba8-6003-41ce-9d71-aece3d2aff2c
19,qa_321_3hop_511,3,23873840-832d-4845-9eab-f1b2d451def3,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,3,4,1,0.25,0.3333333333333333,0.28571428571428575,False,False,,False,False,,3,8,80,56,396144.287,False,,,,,,,,,,,/root/Legal Harness/records/runs/23873840-832d-4845-9eab-f1b2d451def3
20,qa_352_3hop_554,3,bdcaf178-5cf2-49bd-b8a2-29d249cfcec1,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,3,2,1,0.5,0.3333333333333333,0.4,False,False,,False,False,,3,9,90,51,391884.543,False,,,,,,,,,,,/root/Legal Harness/records/runs/bdcaf178-5cf2-49bd-b8a2-29d249cfcec1
21,qa_74_3hop_116,3,5549a9ad-4657-4a03-95e5-c2b9fdac6700,bm25-bge-factualbranch-01,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,3,0,0,0.0,0.0,0.0,False,False,,False,False,,3,6,60,27,293905.411,False,,,,,,,,,,,/root/Legal Harness/records/runs/5549a9ad-4657-4a03-95e5-c2b9fdac6700
