ordinal,question_id,n_hops,run_id,condition,retriever,seed,status,termination_reason,abstention_reason,answer_mode,answered_target_ids,deferred_target_ids,split_memberships,gold_count,accepted_count,gold_true_positive,provision_precision,provision_recall,provision_f1,provision_em,accepted_complete_evidence,token_f1,token_f1_at_800,candidate_answer,candidate_answer_status,candidate_answer_basis,candidate_answer_available,candidate_token_f1_at_800,candidate_exact_match_at_800,lf_eval_score_raw,lf_eval_score_normalized,supported_answer,false_supported,gold_incomplete_supported_answer,citation_integrity_attempted,citation_integrity_passed,retrieval_rounds,retrieval_requests,candidate_count_returned,candidate_count_unique,end_to_end_latency_ms,stage_provenance_available,first_stage_recall_at_100,first_stage_complete_at_100,rrf_recall_at_100,rrf_complete_at_100,bge_recall_at_10,bge_complete_at_10,bge_recall_at_20,bge_complete_at_20,bge_recall_at_30,bge_complete_at_30,record_directory
1,qa_19_1hop_28,1,bdf7d139-c9cc-4987-b0a0-2a7d3f779fb8,B1a-Qwen3.8-Q8_0,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,1,3,1,0.3333333333333333,1.0,0.5,False,True,0.0,0.0,,UNRECORDED,,False,,,,,False,,False,False,,3,5,30,23,295252.64,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/bdf7d139-c9cc-4987-b0a0-2a7d3f779fb8
2,qa_92_1hop_149,1,0af4c28b-5166-48b7-91c0-2f68baf5c58a,B1a-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,,,,all,1,1,1,1.0,1.0,1.0,True,True,0.07692307692307691,0.07692307692307691,"형법 제330조에 따르면, 야간에 사람의 주거, 관리하는 건조물, 선박, 항공기 또는 점유하는 방실에 침입하여 타인의 재물을 절취한 자는 10년 이하의 징역에 처합니다 [CT1]. 본 사안에서 갑이 한밤중에 을의 집에 몰래 들어가 금목걸이를 훔친 행위는 위 조항의 구성요건에 해당할 수 있으며, 이에 따라 10년 이하의 징역형에 처해질 수 있습니다 [CT2].",LEGACY_PUBLISHED_FALLBACK,,True,0.07692307692307691,False,,,True,,False,True,True,3,5,30,28,259491.33,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/0af4c28b-5166-48b7-91c0-2f68baf5c58a
3,qa_139_1hop_254,1,0200e59f-9b48-49fa-b3e1-de75af1a8298,B1a-Qwen3.8-Q8_0,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,1,0,0,0.0,0.0,0.0,False,False,0.0,0.0,,UNRECORDED,,False,,,,,False,,False,False,,3,7,30,21,250233.026,True,1.0,True,1.0,True,0.0,False,1.0,True,1.0,True,/root/Legal Harness/records/runs/0200e59f-9b48-49fa-b3e1-de75af1a8298
4,qa_140_1hop_257,1,5ec63ed9-1f95-4423-8818-cab150755908,B1a-Qwen3.8-Q8_0,bm25,0,ABSTAIN,RETRIEVAL_BUDGET_EXHAUSTED,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,1,0,0,0.0,0.0,0.0,False,False,0.0,0.0,,UNRECORDED,,False,,,,,False,,False,False,,2,9,50,47,304709.73,True,1.0,True,0.0,False,0.0,False,0.0,False,0.0,False,/root/Legal Harness/records/runs/5ec63ed9-1f95-4423-8818-cab150755908
5,qa_165_1hop_293,1,e338f925-d622-4092-a720-cb30f2458dd5,B1a-Qwen3.8-Q8_0,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,1,3,1,0.3333333333333333,1.0,0.5,False,True,0.0,0.0,,UNRECORDED,,False,,,,,False,,False,False,,3,6,50,48,318508.218,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/e338f925-d622-4092-a720-cb30f2458dd5
6,qa_85_1hop_135,1,0af7581d-38d6-423e-8bfa-6d438bcc7a2f,B1a-Qwen3.8-Q8_0,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,1,3,1,0.3333333333333333,1.0,0.5,False,True,0.0,0.0,,UNRECORDED,,False,,,,,False,,False,False,,3,9,40,26,434042.294,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/0af7581d-38d6-423e-8bfa-6d438bcc7a2f
7,qa_163_2hop_630_rand,2,239c75dd-6bdb-483f-badd-a3b7a3bb1b94,B1a-Qwen3.8-Q8_0,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,2,0,0,0.0,0.0,0.0,False,False,0.0,0.0,,UNRECORDED,,False,,,,,False,,False,False,,3,6,60,40,308459.827,True,0.5,False,0.5,False,0.0,False,0.0,False,0.0,False,/root/Legal Harness/records/runs/239c75dd-6bdb-483f-badd-a3b7a3bb1b94
8,qa_180_2hop_689_rand,2,c60568a8-aed1-4671-b700-be068807507d,B1a-Qwen3.8-Q8_0,bm25,0,ABSTAIN,MAX_RETRIEVAL_ROUNDS_REACHED,INSUFFICIENT_CRITICAL_EVIDENCE,,,,all,2,0,0,0.0,0.0,0.0,False,False,0.0,0.0,,UNRECORDED,,False,,,,,False,,False,False,,3,6,60,31,299226.244,True,1.0,True,1.0,True,0.0,False,1.0,True,1.0,True,/root/Legal Harness/records/runs/c60568a8-aed1-4671-b700-be068807507d
9,qa_197_2hop_752_rand,2,f24321ca-ae0e-48a2-9795-4a79b2436014,B1a-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,,,,all,2,2,2,1.0,1.0,1.0,True,True,0.5714285714285715,0.5714285714285715,"농어촌정비법 제70조 제2항에 따르면, 제1항을 위반하여 조성용지를 전매하는 경우 해당 법률행위는 무효로 하며, 사업시행자는 조성용지의 공급 당시 가액과 「은행법」에 따른 은행의 1년 만기 정기예금 평균이자율을 합산한 금액을 지급하고 그 조성용지를 환매할 수 있습니다 [CT1]. 따라서 갑이 을로부터 매입한 조성용지를 병에게 전매한 행위는 무효입니다. 또한, 농어촌정비법 제71조 제1항에 따르면, 농림축산식품부장관은 생활환경정비사업의 생활환경정비계획, 생활환경정비사업 기본계획, 농어촌마을정비계획 및 생활환경정비사업 시행계획의 수립과 조사ㆍ설계 등 사업의 원활한 추진과 생활환경정비사업으로 조성되는 시설물의 품질관리를 위하여 기획ㆍ기술지원을 하여야 하며, 이에 필요한 경비를 예산의 범위에서 지원할 수 있습니다 [CT2].",LEGACY_PUBLISHED_FALLBACK,,True,0.5714285714285715,False,,,True,,False,True,True,1,2,20,20,165227.018,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/f24321ca-ae0e-48a2-9795-4a79b2436014
10,qa_211_2hop_804_rand,2,a6908932-486b-468d-94a6-d8d2b5b7b8ad,B1a-Qwen3.8-Q8_0,bm25,0,ANSWER,COMPLETED,,,,,all,2,2,2,1.0,1.0,1.0,True,True,0.7172413793103448,0.7172413793103448,"환경부장관은 제1항에 따른 인증을 받지 아니한 배출가스저감장치, 저공해엔진 또는 공회전제한장치를 제조, 수입, 공급 또는 판매하려는 자에게 환경부령으로 정하는 바에 따라 일정한 기간을 정하여 제품의 회수, 폐기 등의 필요한 조치를 명할 수 있다 [CT1].

배출가스저감장치, 저공해엔진 또는 공회전제한장치의 판매를 중개하거나 구매를 대행하는 자는 제1항에 따른 인증을 받지 아니한 제품의 판매를 중개하거나 구매를 대행하여서는 아니 된다 [CT2]. 다만, 「전자상거래 등에서의 소비자보호에 관한 법률」에 따른 통신판매중개자가 자신이 운영하는 사이버몰에서 해당 제품을 발견하는 즉시 삭제하고, 소비자가 이러한 정보를 확인할 수 있도록 기술적 조치를 한 경우는 제외한다 [CT3].",LEGACY_PUBLISHED_FALLBACK,,True,0.7172413793103448,False,,,True,,False,True,True,2,4,30,22,339986.647,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,/root/Legal Harness/records/runs/a6908932-486b-468d-94a6-d8d2b5b7b8ad
